Id,Label,Modularity Class
7561,7561,2.487894138656503e-06
7562,7562,2.487894138656503e-06
7564,7564,4.039291786213275e-05
7565,7565,1.5954913116325306e-05
7569,7569,2.487894138656503e-06
7570,7570,2.487894138656503e-06
7581,7581,4.828993780790573e-06
7595,7595,2.487894138656503e-06
7598,7598,5.165747126268766e-06
7599,7599,4.837805693231224e-06
7600,7600,5.975936463697667e-06
7601,7601,3.481578243699454e-06
7602,7602,3.06900947185935e-06
7603,7603,4.828993780790571e-06
7604,7604,9.880270042645678e-06
