DATE,TEXT
2018-07-18 17:07:39,"RT @danibacedo: 686 dias do Golpe
545 dias q Teori morreu no acidente ""misterioso""
126 dias q Marielle foi assassinada
100 dias q Lula está…"
2018-07-18 17:07:27,"RT @pauloteixeira13: Ontem,100 dias de prisão política do presidente @LulaOficial. Hoje, Mandela completaria 100 anos. Dois símbolos, duas…"
2018-07-18 17:07:19,"RT @zeloureironeto: Ihhh, o General não vai mais ser o vice do Bozo... Ele não quer um vice, quer minutos na TV!!!! hahahahahaha
#LulaLivre"
2018-07-18 17:07:17,RT @sandraselmader: @ProjetoFines registrando presença na vigília #LulaLivre #1001DiasDeInjustiça @marcostalhari https://t.co/SaQ2qZ4mgW
2018-07-18 17:07:05,RT @sorayabborges: Eleição sem @LulaOficial  É sim FRAUDE Chegaaaa já NB golpearam nossos direitos DESENVOLVIMENTO Soberania Democracia Ale…
2018-07-18 17:06:32,"RT @DilmaResiste: Você é capaz de identificar a manipulação feita pelo Estadão? Olhe atentamente.
#LulaLivre #Resistencia102Dias https://t.…"
2018-07-18 17:06:30,"100 anos do líder, Mandela! #100DiasDeInjustiça #LulaLivre #MandelaDay https://t.co/V4mUKBkjkC"
2018-07-18 17:06:26,RT @sorayabborges: Eleição sem @LulaOficial  É sim FRAUDE Chegaaaa já NB golpearam nossos direitos DESENVOLVIMENTO Soberania Democracia Ale…
2018-07-18 17:05:21,"Ihhh, o General não vai mais ser o vice do Bozo... Ele não quer um vice, quer minutos na TV!!!! hahahahahaha
#LulaLivre"
2018-07-18 17:05:06,"RT @DilmaResiste: #LulaLivre #Resistencia102Dias
Segundo laudo de uma perícia contratada pela defesa do ex-presidente Lula sobre o sistema…"
2018-07-18 17:04:19,Eleição sem @LulaOficial  É sim FRAUDE Chegaaaa já NB golpearam nossos direitos DESENVOLVIMENTO Soberania Democraci… https://t.co/LfiT1UWOh9
2018-07-18 17:03:53,RT @joaoflorb: #lulalivre e #Mandela100 #100DiasDeInjustiça Video mostra dois lutadores contra as injustiças sociais: https://t.co/457EJwHa…
2018-07-18 17:03:40,"RT @danibacedo: 686 dias do Golpe
545 dias q Teori morreu no acidente ""misterioso""
126 dias q Marielle foi assassinada
100 dias q Lula está…"
2018-07-18 17:03:36,@ProjetoFines registrando presença na vigília #LulaLivre #1001DiasDeInjustiça @marcostalhari https://t.co/SaQ2qZ4mgW
2018-07-18 17:03:06,Ato #LulaLivre em SP defende democracia e marca centenário de Nelson Mandela https://t.co/WOgeyrUtNh via @redebrasilatual
2018-07-18 17:02:59,"RT @DilmaResiste: Jornal Belga Le Soir classifica Moro como juiz parcial
#LulaLivre #Resistencia103Dias
""Reportagem no principal jornal bel…"
2018-07-18 17:02:44,"Mas... Gente... Tem algo muito errado na cabeça desse ""Povo da Gazeta""... Affffffff
#LulaLivre https://t.co/aCMCTYlKuF"
2018-07-18 17:01:35,"Fora Bolsomerda... Aqui vc não passa 👊👊👊👊
#LulaLivre 
#LulaPresidente2018 https://t.co/TkIgl1nNdT"
2018-07-18 17:01:05,"RT @DilmaResiste: #LulaLivre #Resistencia102Dias
O vaivém do HC de soltura de Lula serviu para mostrar ao povo brasileiro que Moro não tem…"
2018-07-18 17:00:29,"RT @DilmaResiste: #LulaLivre #Resistencia103Dias
Em nota, o PSDB-MG afirma não ter cometido qualquer ilegalidade, e diz também ter interrom…"
2018-07-18 17:00:24,"RT @pauloteixeira13: Ontem,100 dias de prisão política do presidente @LulaOficial. Hoje, Mandela completaria 100 anos. Dois símbolos, duas…"
2018-07-18 17:00:16,"RT @pauloteixeira13: Ontem,100 dias de prisão política do presidente @LulaOficial. Hoje, Mandela completaria 100 anos. Dois símbolos, duas…"
2018-07-18 17:00:05,"Jornal Belga Le Soir classifica Moro como juiz parcial
#LulaLivre #Resistencia103Dias
""Reportagem no principal jorn… https://t.co/Y1nr0YEod1"
2018-07-18 16:59:57,"RT @berocorreia: Da série: Ligue os pontos...👇

O amigo de #LulaLivre x O amigo de Bolsonaro https://t.co/FQzCoBAaaE"
2018-07-18 16:59:44,RT @redebrasilatual: PÉ NA ESTRADA Manifestantes percorrerão mais de 150 quilômetros até chegarem a Recife na sexta-feira com ato #LulaLivr…
2018-07-18 16:59:33,RT @redebrasilatual: PÉ NA ESTRADA Manifestantes percorrerão mais de 150 quilômetros até chegarem a Recife na sexta-feira com ato #LulaLivr…
2018-07-18 16:59:29,"Pra mim coxinha exaltar Nelson Mandela pelo dia de hj é o mesmo que  alguém do clã Bolsonaro curtir foto do Lula lindo. 
#LULALIVRE"
2018-07-18 16:59:16,"RT @DilmaResiste: #LulaLivre #Resistencia102Dias
Segundo laudo de uma perícia contratada pela defesa do ex-presidente Lula sobre o sistema…"
2018-07-18 16:59:03,"RT @berocorreia: Da série: Ligue os pontos...👇

O amigo de #LulaLivre x O amigo de Bolsonaro https://t.co/FQzCoBAaaE"
2018-07-18 16:59:00,"AINDA
Tem gente que quer questionar o que #LulaLivre fez pra nossa #economia.

Sem falar em reservas internacionais! https://t.co/Uoye66Tj7N"
2018-07-18 16:58:57,"RT @BohnGass: Que outro líder brasileiro, além de Lula, reuniria tanta gente, inspiraria tanta confiança, carregaria tanta esperança? Nenhu…"
2018-07-18 16:58:55,"RT @SigaPepeVargas: Há 100 anos, 18/07/1918, nascia Nelson Mandela. Há 102 dias Lula está preso. Mandela ficou preso por anos. O crime de a…"
2018-07-18 16:58:41,"*\(^o^)/* A PRESIDENTA da CROÁCIA 🇭🇷 é demais e como eu gosto dela e é um grande exemplo aos Croatas!
Daquela série… https://t.co/nIfJQGe8qd"
2018-07-18 16:58:35,RT @redebrasilatual: PÉ NA ESTRADA Manifestantes percorrerão mais de 150 quilômetros até chegarem a Recife na sexta-feira com ato #LulaLivr…
2018-07-18 16:58:20,"Da série: Ligue os pontos...👇

O amigo de #LulaLivre x O amigo de Bolsonaro https://t.co/FQzCoBAaaE"
2018-07-18 16:58:01,RT @pnolasco2000: Para que Lula seja libertado de acordo com a ética e moral do judiciário será preciso que arranjemos provas de que ele es…
2018-07-18 16:57:43,RT @redebrasilatual: PÉ NA ESTRADA Manifestantes percorrerão mais de 150 quilômetros até chegarem a Recife na sexta-feira com ato #LulaLivr…
2018-07-18 16:57:20,LulaeuConfio LulaInocente LulaPresidente Único atalho para parar o GOLPE contra o POVO e a Soberania Nacional LulaD… https://t.co/9cwnmNQl61
2018-07-18 16:57:19,"Mostra tua força Pernambuco 💪💪
#LulaLivre 
#LulaPresidente2018 https://t.co/fLdCbygqTX"
2018-07-18 16:57:04,"RT @pauloteixeira13: Ontem,100 dias de prisão política do presidente @LulaOficial. Hoje, Mandela completaria 100 anos. Dois símbolos, duas…"
2018-07-18 16:57:04,"RT @robertabastosn: O da esquerda na foto é o Jucá do MDB sabe? Aquele Jucá do acordo com Supremo com Tudo. O da direita é o Moro, aquele p…"
2018-07-18 16:56:07,"RT @orlandosilva: Já é tarde, mas sempre é hora para denunciar que o líder de todas as pesquisas eleitorais, o presidente de maior populari…"
2018-07-18 16:56:03,"Indígenas em Brasília gritam: ""Lula, guerreiro do povo brasileiro "" #LulaLivre Compartilhe. https://t.co/0a5aFL7r5a"
2018-07-18 16:55:33,"RT @DeputadoFederal: CONHEÇA OS CRIMES DE MORO

1 - Desobediência
2 - Abuso de Autoridade
3 - Prevaricação
4 - Condenar inocente

#LulaLivr…"
2018-07-18 16:55:03,"RT @ointerdoamor: Retweeted Rui Costa (@costa_rui):

#LulaLivre é a esperança de dias melhores. Lutar pela libertação de Lula é lutar pela…"
2018-07-18 16:54:30,RT @teresaleitao_: Lula segue imbatível em Pernambuco com 65%de intenção de voto e puxando declaração de apoio de dois pré candidatos adver…
2018-07-18 16:53:25,"RT @pauloteixeira13: Ontem,100 dias de prisão política do presidente @LulaOficial. Hoje, Mandela completaria 100 anos. Dois símbolos, duas…"
2018-07-18 16:53:23,RT @LorenGetulia: Primeiro boa tarde Lula na porta da polícia federal #LulaLivre #100DiasDeInjustiça https://t.co/DGzkbCCjcd
2018-07-18 16:53:22,"RT @SigaPepeVargas: Há 100 anos, 18/07/1918, nascia Nelson Mandela. Há 102 dias Lula está preso. Mandela ficou preso por anos. O crime de a…"
